ModuleName,ARITLSHIFT,ARITLSHIFT_PORT_NUM,ARITLSHIFT_PORT_WIDTH,ARITLSHIFT_VALUE,ARITRSHIFT,ARITRSHIFT_PORT_NUM,ARITRSHIFT_PORT_WIDTH,ARITRSHIFT_VALUE,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,BlockAssign_Left_PortNum,BlockAssign_Left_Width,BlockAssign_Right_PortNum,BlockAssign_Right_Width,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALIFWIDTH,CONDITIONALTHEN,FORBLOCK,FORTIMES,FUNCTIONCALL,FUNCTIONNUM,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockLeftWidth,NonBlockRightWidth,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,PLUS,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,UnaryOperator,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
Beep_Module,0,0,0,0,0,0,0,0,6,1,1,1,1,1,15,15,210,3,18,1,8,0,0,11,5,5,3,5,0,0,0,0,0,0,0,3,10,0,0,66,33,6,6,3,1,1,0,0,1,0,0,0,0,2,0,0,6,66,0,0,0,32,,,
bidir,0,0,0,0,0,0,0,0,0,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,#N/A,,,
bidir2,0,0,0,0,0,0,0,0,1,1,8,1,8,1,2,2,16,1,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,8,0,0,0,9,,,
bit_slice,0,0,0,0,0,0,0,0,5,0,0,0,0,0,33,34,112,41,101,3,9,0,0,13,0,0,0,0,1,-1,0,0,0,0,4,11,24,3,0,0,0,0,0,9,7,10,1,4,2,14,14,14,14,4,2,4,26,133,0,4,4,48,,,
block1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,,
block2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,#N/A,,,
block3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,,
block4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,,
bot,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,
buried_ff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,#N/A,,,
