ModuleName,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALTHEN,FORBLOCK,FORTIMES,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
account,3,3,21,5,20,3,0,2,3,0,0,2,15,18,18,0,0,0,0,0,4,5,6,0,50,70,6,6,24,0,0,2,2,2,2,0,0,0,10,20,0,0,100,88,29,1
add_ahead,0,33,33,2,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,158,2,9,0,0,0,0,0,0,16,16,16,0,0,4,18,10,0,26,0
add_bx,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0
add_jl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,8,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0
add_tree,1,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,8,8,0,1,16,0,0,0,0,0,0,0,0,0,8,92,7,66,50,64,33,1
add8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0
adder4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0
adder8,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,5,24,0,0,8,26,27,1
alu_control,2,0,0,0,0,0,12,2,5,0,0,12,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,10,0
Beep_Module,6,1,1,1,1,1,15,1,8,0,0,11,5,5,5,0,0,0,0,0,3,10,0,0,6,6,3,1,1,0,0,0,0,0,0,0,0,0,6,64,0,0,32,33,11,1
