ModuleName,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALTHEN,FORBLOCK,FORTIMES,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
compile,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
control,1,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,1,6,0,0,31,39,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0
count,1,0,0,0,0,0,3,0,0,0,0,0,2,2,2,0,0,0,0,0,4,11,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,9,8,19,1
count,1,1,1,2,0,1,3,0,0,0,0,0,2,2,2,0,0,0,0,0,4,7,0,0,0,0,0,2,5,0,0,1,1,1,1,0,0,0,1,4,0,0,9,8,19,1
count10,1,1,1,2,0,1,3,0,0,0,0,0,2,3,3,0,0,0,0,0,3,3,0,0,0,0,0,2,5,0,0,1,1,1,1,0,0,0,1,4,0,0,#N/A,#N/A,#N/A,#N/A
count4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,2,4,6,1
count4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,2,4,6,1
count60,1,1,1,2,0,1,0,0,0,0,0,0,4,5,5,0,0,0,0,0,5,12,0,0,6,10,1,2,9,0,0,1,1,1,1,0,0,0,1,8,0,0,11,8,21,1
cpu_mod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
crc,1,16,16,0,0,16,0,0,0,0,0,0,3,4,4,0,0,0,0,0,6,13,0,0,8,8,145,2,24,0,0,0,0,0,0,0,0,56,2,24,1,16,25,24,37,1
cycle,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,7,0,0,0,2,5,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,6,10,0,0,2,7,12,1
decode4_7,1,0,0,0,0,0,11,1,4,0,0,11,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,7,0,0,4,0,11,0
decode47,1,0,0,0,0,0,11,4,4,0,0,11,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,11,0
decoder_38,1,0,0,0,0,0,8,1,3,0,0,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0,11,0
decoder1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,3,17,0,0,10,7,15,1
decoder2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,-12,0,0,0,2,8,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,9,21,0,0,20,14,15,1
decoder3to8,1,0,0,0,0,0,9,1,3,0,0,8,1,1,1,0,0,0,0,0,2,4,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0,12,0
DFF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1
dff_3_pipe,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,26,0,0,6,6,3,3,24,1,8,0,0,0,0,0,0,0,0,0,0,0,1,24,50,1
DFF1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,4,4,0,0,6,6,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,6,1
DFF2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,4,4,0,0,6,6,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,6,1
dly_24cycle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,2,33,0,0,2,3,3,1,32,1,32,0,0,0,0,0,0,0,3,64,0,0,0,768,65,1
dly_2cycle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,2,2,2,1,32,1,32,0,0,0,0,0,0,0,2,64,0,0,0,0,0,0
dm,1,1,1,2,34,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,41,0,0,1,2,1,1,32,0,0,1,1,1,1,0,0,0,1,32,0,0,80,64,73,1
